symbol,origIndustry,newIndustry
A.N,5610101010,5610101010
AAL.O,5240601011,5240601011
AAP.N,5340301014,5340301014
AAPL.O,5710602011,5710602011
ABBV.N,5620104010,5620104010
ABC.N,5610102010,5610122010
ABMD.O,5610101010,5610101010
ABNB.O,5720103010,5720133010
ABT.N,5610102010,5610122010
ACGL.O,5530102010,5530102010
ACN.N,5720101010,5720101010
ADBE.O,5720102012,5720122012
ADI.O,5710101010,5710101010
ADM.N,5410202010,5410202010
ADP.O,5720101010,5720101010
ADSK.O,5720102012,5720122012
AEE.N,5910401010,5910401010
AEP.N,5910101010,5910101010
AES.N,5910101010,5910101010
AFL.N,5530103010,5530103010
AIG.N,5530102010,5530102010
AIZ.N,5530102010,5530102010
AJG.N,5530101012,5530101012
AKAM.O,5720101010,5720101010
ALB.N,5110103010,5110103010
ALGN.O,5610102010,5610122010
ALK.N,5240601010,5240601010
ALL.N,5530102010,5530102010
ALLE.N,5710201012,5710201012
AMAT.O,5710102011,5710102011
AMCR.N,5130201014,5130201014
AMD.O,5710101010,5710101010
AME.N,5210203010,5210203010
AMGN.O,5620104010,5620104010
AMP.N,5510202010,5510222010
AMT.N,6010204010,6010204010
AMTM.N,5720101010,5720101010
AMZN.O,5340201013,5340201013
ANET.N,5710201010,5710201010
ANSS.O,5720102012,5720122012
ANTM.N,5610202010,5610202010
AON.N,5530101012,5530101012
AOS.N,5210203015,5210203015
APA.N,5010202010,5010202010
APD.N,5110101015,5110101015
APH.N,5710401014,5710401014
APO.N,5550105010,5550105010
APP.O,5720102012,5720122012
APTV.N,5310102010,5310102010
ARE.N,6010202010,6010202010
ARES.N,5510202011,5510222011
ATO.N,5910201010,5910201010
ATVI.O,5720103016,5720133016
AVB.N,6010203010,6010203010
AVGO.O,5710101010,5710101010
AVY.N,5130201010,5130201010
AWK.N,5910301011,5910301011
AXON.O,5210101010,5210101010
AXP.N,5510103012,5510133012
AZO.N,5340301014,5340301014
BA.N,5210101012,5210101012
BAC.N,5510101010,5510101010
BAX.N,5610102010,5610122010
BBWI.N,5340309012,5340309012
BBY.N,5340305010,5340305010
BDX.N,5610102010,5610122010
BEN.N,5510202011,5510222011
BFb.N,5410102010,5410102010
BG.N,5410202010,5410202010
BHGE.N,5010302010,5010302010
BIIB.O,5620104012,5620104012
BIO.N,5610102010,5610122010
BK.N,5510202010,5510222010
BLDR.N,5320302010,5320302010
BLK.N,5510202010,5510222010
BLL.N,5130201010,5130201010
BMY.N,5620104010,5620104010
BR.N,5220307012,5220307012
BRKb.N,5440101010,5440101010
BRO.N,5530101012,5530101012
BSX.N,5610101010,5610101010
BWA.N,5310102010,5310102010
BX.N,5510202011,5510222011
BXP.N,6010202020,6010202020
C.N,5510201010,5510201010
CAG.N,5410202010,5410202010
CAH.N,5620104018,5620104018
CARR.N,5210203015,5210203015
CAT.N,5210202011,5210202011
CB.N,5530101010,5530101010
CBG.N,6010102010,6010102010
CBOE.O,5510205010,5510205010
CCI.N,6010204010,6010204010
CCL.N,5330101012,5330101012
CDAY.N,5720102013,5720122013
CDNS.O,5720102010,5720122010
CDW.O,5710701010,5710701010
CE.N,5110103010,5110103010
CEG.O,5910101010,5910101010
CF.N,5110102011,5110102011
CFG.N,5510101010,5510101010
CHD.N,5420101010,5420101010
CHRW.O,5240503010,5240503010
CHTR.O,5740101010,5740101010
CI.N,5610202010,5610202010
CIEN.N,5710201010,5710201010
CINF.O,5530102010,5530102010
CL.N,5420102010,5420102010
CLX.N,5420101010,5420101010
CMA.N,5510101010,5510101010
CMCSA.O,5740102030,5740102030
CME.O,5510205011,5510205011
CMG.N,5330102013,5330102013
CMI.N,5310102012,5310102012
CMS.N,5910401010,5910401010
CNC.N,5610202010,5610202010
CNP.N,5910401010,5910401010
COF.N,5510103012,5510133012
COG.N,5010202010,5010202010
COH.N,5340304010,5340344010
COIN.O,5730103010,5730103010
COO.N,5610102016,5610122016
COP.N,5010202010,5010202010
COST.O,5340202010,5340202010
CPB.N,5410202010,5410202010
CPRT.O,5720103013,5720133013
CPT.N,6010203010,6010203010
CRH.N,5120201010,5120201010
CRL.N,5620201010,5620201010
CRM.N,5720101015,5720101015
CRWD.O,5720102018,5720122018
CSCO.O,5710201010,5710201010
CSGP.O,5720103010,5720133010
CSX.N,5240503011,5240503011
CTAS.O,5220304010,5220304010
CTL.N,5740101010,5740101010
CTLT.N,5620104010,5620104010
CTSH.O,5720101010,5720101010
CTVA.N,5110102010,5110102010
CTXS.O,5720102010,5720122010
CVNA.N,5340301012,5340301012
CVS.N,5610201010,5610201010
CVX.N,5010201010,5010201010
CZR.O,5330103010,5330103010
D.N,5910101010,5910101010
DAL.N,5240601010,5240601010
DASH.O,5720103010,5720133010
DD.N,5110109010,5110109010
DDOG.O,5720102012,5720122012
DE.N,5210202015,5210202015
DECK.N,5320203010,5320203010
DELL.N,5710601010,5710601010
DFS.N,5510101010,5510101010
DG.N,5340202010,5340202010
DGX.N,5610201010,5610201010
DHI.N,5320301010,5320301010
DHR.N,5610101010,5610101010
DIS.N,5330202010,5330202010
DISH.O,5330202013,5330202013
DLR.N,6010204010,6010204010
DLTR.O,5340202012,5340202012
DOV.N,5210201010,5210211010
DOW.N,5110109010,5110109010
DOW_new.N,5110101011,5110101011
DPZ.N,5330102013,5330102013
DRE.N,6010202040,6010202040
DRI.N,5330102010,5330102010
DTE.N,5910101010,5910101010
DUK.N,5910101010,5910101010
DVA.N,5610201010,5610201010
DVN.N,5010202010,5010202010
DXC.N,5720101010,5720101010
DXCM.O,5610102010,5610122010
EA.O,5720102012,5720122012
EBAY.O,5720103013,5720133013
ECL.N,5110103010,5110103010
ED.N,5910101010,5910101010
EFX.N,5220307010,5220307010
EIX.N,5910101010,5910101010
EL.N,5420102010,5420102010
EME.N,5220102010,5220102010
EMN.N,5110103010,5110103010
EMR.N,5210203010,5210203010
ENPH.O,5020101013,5020101013
EOG.N,5010202010,5010202010
EPAM.N,5720101010,5720101010
EQIX.O,6010204010,6010204010
EQR.N,6010203010,6010203010
EQT.N,5010202010,5010202010
ERIE.O,5530102010,5530102010
ES.N,5910101010,5910101010
ESS.N,6010203010,6010203010
ETN.N,5210203010,5210203010
ETR.N,5910101010,5910101010
ETSY.O,5340201013,5340201013
EW.N,5610101010,5610101010
EXC.N,5910101010,5910101010
EXE.O,5010202010,5010202010
EXPD.O,5240501010,5240501010
EXPE.O,5330104014,5330104014
EXR.N,6010204040,6010204040
F.N,5310101010,5310101010
FANG.O,5010202010,5010202010
FAST.O,5210201024,5210211024
FB.O,5720103012,5720133012
FBHS.N,5320302010,5320302010
FCX.N,5120105010,5120105010
FDS.N,5220307010,5220307010
FDX.N,5240501010,5240501010
FE.N,5910101010,5910101010
FFIV.O,5720101010,5720101010
FICO.N,5720102013,5720122013
FIS.N,5730101010,5730101010
FISV.O,5220304027,5220304027
FITB.O,5510101011,5510101011
FIX.N,5220102010,5220102010
FLT.N,5220304027,5220304027
FMC.N,5110102010,5110102010
FOXA.O,5330202011,5330202011
FRC.N,5510101011,5510101011
FRT.N,6010202010,6010202010
FSLR.O,5020101013,5020101013
FTNT.O,5720102018,5720122018
FTV.N,5210201010,5210211010
GD.N,5210101010,5210101010
GDDY.N,5720101010,5720101010
GE.N,5210101010,5210101010
GEHC.O,5610101010,5610101010
GEN.O,5720102018,5720122018
GEV.N,5910101010,5910101010
GILD.O,5620104010,5620104010
GIS.N,5410202010,5410202010
GLW.N,5710401013,5710401013
GM.N,5310101010,5310101010
GNRC.N,5210203018,5210203018
GOOG.O,5720103011,5720133011
GOOGL.O,5720103011,5720133011
GPC.N,5310102017,5310102017
GPN.N,5220304027,5220304027
GRMN.O,5710201010,5710201010
GS.N,5510201010,5510201010
GWW.N,5210201024,5210211024
HAL.N,5010302010,5010302010
HAS.O,5320501010,5320501010
